squadra,giocatore,prezzo,Riscatto,motivoRiscatto
Mapi Group,Palestra,31,dubbio,costo 35 per FVM 75 classe 2005 slot U25; l Atalanta lo ha ceduto e finche non si sa dove finisce resta un rischio
Mapi Group,Leao,260,No,costo 312 contro FVM 80 - Amorim lo ha scaricato e il Milan chiede 40-60 milioni; rischio concreto che lasci la Serie A entro il 1 settembre
Mapi Group,Politano,72,No,costo 83 per FVM 31 - titolare Napoli ma 33 anni e bonus in calo; si ricompra all asta a molto meno
Mapi Group,Openda,54,No,costo 63 per FVM 8 - con l arrivo di Kolo Muani alla Juve è finito dietro nelle gerarchie
Mapi Group,Zhegrova,60,No,costo 69 per FVM 12 - fuori dalle rotazioni di Spalletti
Nkunku Settete,Kalulu,27,Si,costo 30 contro FVM 68 - titolare fisso della difesa della Juve; il miglior affare di una rosa costosa
Nkunku Settete,Okoye,2,Si,costo 3 per FVM 14 - portiere titolare dell Udinese a tre crediti; con 984 di budget è ossigeno puro
Nkunku Settete,Solet,32,Si,costo 36 per FVM 55 classe 2004 slot U25; titolare Udinese e profilo da rivendita
Nkunku Settete,Miranda J.,27,Si,costo 30 classe 2003 slot U25; terzino titolare del Bologna di Tedesco
Nkunku Settete,Scamacca,110,dubbio,costo 132 per FVM 95 - titolare del nuovo Atalanta di Sarri ma il prezzo supera il valore e il budget è il più basso della lega
Nkunku Settete,Berardi,107,dubbio,costo 129 per FVM 90 - resta il faro del Sassuolo ma a 32 anni e con quel costo il rischio infortuni pesa
Nkunku Settete,Caqueret,3,dubbio,costo 4 per FVM 18 - prezzo ottimo ma al Como non è titolare nel 4-2-3-1 di Fabregas
Nkunku Settete,Nkunku,65,dubbio,costo 75 per FVM 43 - titolare da trequartista con Amorim ma si paga sopra il valore
Nkunku Settete,Isaksen,50,dubbio,costo 58 per FVM 35 - titolare della Lazio di Gattuso ma continuità di rendimento mai dimostrata
Nkunku Settete,Sucic P.,55,dubbio,costo 64 per FVM 21 classe 2002 slot U25; titolare Inter ma pochi bonus per il fantacalcio
Nkunku Settete,Pulisic,167,No,costo 201 contro FVM 100 - fortissimo e titolare ma un quinto del budget per un valore dimezzato
Nkunku Settete,Ferguson E.,176,No,costo 212 per FVM 12 - alla Roma è dietro a Malen Castro e Dybala; il peggior contratto potenziale della lega
Nkunku Settete,Lukaku,31,No,costo 35 ed è in uscita dal Napoli dopo l arrivo a titolo definitivo di Hojlund
Nkunku Settete,Leali,14,No,ceduto dal Genoa che ha preso Bijlow come titolare
Raoul e il socio,Dimarco,73,Si,costo 84 contro FVM 320 - il miglior rapporto valore prezzo dell intera lega; esterno titolare Inter con assist e punizioni
Raoul e il socio,Malen,109,Si,costo 131 contro FVM 350 - punta titolare della Roma di Gasperini e primo slot d attacco del listone; affare enorme
Raoul e il socio,Falcone,1,Si,costo 1 per FVM 35 - portiere titolare del Lecce; a un credito è il miglior portiere per rapporto qualità prezzo
Raoul e il socio,Ramon,10,Si,costo 11 per FVM 23 classe 2003 slot U25; centrale titolare del Como
Raoul e il socio,Jashari,1,Si,costo 1 classe 2002 slot U25; titolare del centrocampo di Amorim al Milan - crescita garantita
Raoul e il socio,Bartesaghi,25,Si,costo 28 classe 2005 slot U25; titolare del Milan sulla corsia mancina a 21 anni
Raoul e il socio,Gaetano,1,dubbio,costo 1 ed è passato all Atalanta di Sarri da titolare; affare vero ma i 3 slot O25 vanno su Dimarco Malen e Falcone
Raoul e il socio,Motta,1,dubbio,costo 1 portiere titolare della Lazio; stessa situazione di Gaetano - slot O25 saturi
Raoul e il socio,Neres,4,dubbio,costo 5 per FVM 15 - al Napoli è nelle rotazioni di Allegri ma ha molto mercato in uscita
Raoul e il socio,De Bruyne,114,dubbio,costo 137 per FVM 92 - qualità assoluta ma 35 anni e prezzo sopra valore; da valutare se avanza budget
Raoul e il socio,Dybala,91,dubbio,costo 105 per FVM 50 - titolare Roma ma fragilità fisica cronica e costo doppio rispetto al valore
Raoul e il socio,De Ketelaere,94,dubbio,costo 109 per FVM 59 - titolare Atalanta ma con Sarri cambia sistema e il prezzo è già pieno
Raoul e il socio,Modric,51,dubbio,costo 59 per FVM 90 - il valore c è ma a 41 anni e fuori dagli undici di Amorim è una scommessa
Raoul e il socio,David,183,No,costo 220 per FVM 28 - alla Juve è dietro a Kolo Muani e Openda ed è lui stesso sul mercato
Raoul e il socio,Fullkrug,12,No,costo 14 ma con l arrivo di Goncalo Ramos al Milan è fuori dal progetto
Sporting Garra,Calhanoglu,91,Si,costo 105 contro FVM 190 - regista e rigorista titolare dell Inter; bonus garantiti e surplus altissimo
Sporting Garra,Rabiot,98,Si,costo 113 contro FVM 195 - titolare del centrocampo di Amorim; uno dei tre centrocampisti più redditizi del listone
Sporting Garra,Vlasic,41,Si,costo 46 contro FVM 100 - trequartista titolare e rigorista del Torino; prezzo dimezzato rispetto al valore
Sporting Garra,Taylor K.,18,Si,costo 20 per FVM 52 classe 2003 slot U25; titolare della Lazio di Gattuso
Sporting Garra,Rowe,17,Si,costo 19 per FVM 49 classe 2002 slot U25; esterno titolare del Bologna
Sporting Garra,Rodriguez Je.,6,Si,costo 7 per FVM 27 classe 2003 slot U25; nelle rotazioni offensive del Como
Sporting Garra,Ahanor,5,Si,costo 6 e classe 2008 = slot U21 illimitato quindi gratis a livello di vincoli; già titolare nell Atalanta di Sarri
Sporting Garra,Bisseck,1,dubbio,costo 1 per FVM 41 titolare della difesa a 3 dell Inter; affare pazzesco ma i 3 slot O25 valgono di più su Calhanoglu Rabiot e Vlasic
Sporting Garra,Lauriente,43,dubbio,costo 48 per FVM 82 - titolare del Sassuolo con ottimo margine; primo escluso per saturazione slot
Sporting Garra,Akanji,35,dubbio,costo 39 per FVM 64 - riscattato dall Inter e titolare; stesso problema di slot
Sporting Garra,Vasquez,16,dubbio,costo 18 per FVM 26 - titolare della difesa del Genoa; buon prezzo slot saturi
Sporting Garra,Comuzzo,10,dubbio,costo 11 classe 2005 slot U25; passato al Torino da titolare - da tenere se si liberano slot U25
Sporting Garra,Dodò,46,dubbio,costo 53 per FVM 30 - titolare Fiorentina ma si paga sopra valore
Sporting Garra,Martinez L.,309,No,costo 402 contro FVM 315 - il riscatto più caro possibile; oltre il 39% del budget per un valore inferiore al costo
Sporting Garra,Di Gregorio,101,No,costo 122 per FVM 30 - portiere titolare Juve ma pagato quattro volte il valore
Sporting Garra,Acerbi,12,No,ceduto dall Inter e fuori dai radar
Tridente demoniaco,Pavlovic,33,Si,costo 37 per FVM 60 - titolare della difesa a 3 di Amorim al Milan; miglior margine della rosa
Tridente demoniaco,Gila,20,Si,costo 22 - passato dalla Lazio al Milan dove Amorim lo vede titolare; salto di squadra che ne alza il rendimento
Tridente demoniaco,Muric,5,Si,costo 6 per un portiere titolare del Sassuolo; in una lega da 1000 crediti un portiere di ruolo a 6 è oro
Tridente demoniaco,Fazzini,1,Si,costo 1 classe 2003 slot U25; passato al Cagliari di Pisacane da titolare nel 3-5-2
Tridente demoniaco,Stulic,1,dubbio,costo 1 e centravanti titolare del Lecce; ottimo valore ma il terzo slot O25 è conteso
Tridente demoniaco,Cristante,18,dubbio,costo 20 per FVM 26 - titolare della Roma di Gasperini; margine positivo ma sottile
Tridente demoniaco,Bernabè,21,dubbio,costo 24 per FVM 23 - regista titolare del Parma; prezzo esattamente a valore quindi nessun vantaggio
Tridente demoniaco,Maignan,100,dubbio,costo 120 per FVM 88 - miglior portiere del Milan ma il costo supera il valore
Tridente demoniaco,Zielinski,53,dubbio,costo 61 per FVM 60 - valore in linea al prezzo ma all Inter non è titolare
Tridente demoniaco,Vergara,25,dubbio,costo 28 classe 2003 slot U25; al Napoli di Allegri lo spazio è tutto da verificare
Tridente demoniaco,Kempf,8,dubbio,costo 9 per FVM 18 - prezzo minimo ma al Como è fuori dagli undici
Tridente demoniaco,Hojlund,302,No,costo 393 contro FVM 213 - il 39% del budget; è titolare del Napoli ma si perde quasi metà del valore nel riscatto
Tridente demoniaco,Kean,269,No,costo 350 contro FVM 40 - crollo verticale della valutazione di listino; il riscatto peggiore possibile della lega
Tridente demoniaco,Carlos Augusto,40,No,costo 44 per FVM 15 - all Inter è chiuso da Dimarco e Spence
Tridente demoniaco,Pedro,1,No,ceduto dalla Lazio di Gattuso
TurettaEPacciani FC,McKennie,1,Si,costo 1 contro FVM 107 - il singolo riscatto più conveniente di tutta la lega; titolare della Juve di Spalletti a un credito
TurettaEPacciani FC,Butez,21,Si,costo 24 contro FVM 95 - portiere titolare del Como reduce da 19 clean sheet; affare clamoroso
TurettaEPacciani FC,Lobotka,5,Si,costo 6 per FVM 20 - inamovibile del Napoli di Allegri; a sei crediti è regalato
TurettaEPacciani FC,Baturina,54,Si,costo 63 per FVM 95 classe 2003 slot U25; trequartista titolare del Como in esplosione
TurettaEPacciani FC,Paz N.,181,Si,costo 218 per FVM 245 classe 2004 slot U25; è rimasto al Como ed è il miglior centrocampista del listone - unico big che conviene riscattare
TurettaEPacciani FC,Fadera,1,Si,costo 1 classe 2002 slot U25; costa nulla e occupa uno slot altrimenti inutilizzato
TurettaEPacciani FC,Yildiz,251,dubbio,costo 302 contro FVM 182 - top assoluto e titolare Juve ma insieme a Paz N farebbe 520 crediti su due giocatori cioè metà budget
TurettaEPacciani FC,Heggem,6,dubbio,costo 7 titolare del Bologna; buon prezzo ma slot O25 già assegnati a McKennie Butez e Lobotka
TurettaEPacciani FC,Spinazzola,30,dubbio,costo 33 per FVM 33 - titolare Napoli ma prezzo esattamente a valore e 33 anni
TurettaEPacciani FC,Bremer,70,dubbio,costo 81 per FVM 74 - difensore top della Juve ma nessun margine e storia di infortuni gravi
TurettaEPacciani FC,Elmas,1,dubbio,costo 1 per FVM 13 - jolly del Napoli utile solo se avanzano slot
TurettaEPacciani FC,Skorupski,30,dubbio,costo 33 per FVM 14 - titolare del Bologna ma con Butez in rosa il secondo portiere non serve
TurettaEPacciani FC,Vlahovic,189,No,costo 227 - ha lasciato la Juve a parametro zero e la destinazione è ancora incerta; rischio concreto che non sia in Serie A
TurettaEPacciani FC,Zaccagni,141,No,costo 170 contro FVM 25 - crollo della valutazione; titolare Lazio ma pagato sette volte il valore
TurettaEPacciani FC,Castro S.,144,No,costo 173 per FVM 30 - passato alla Roma dove è dietro a Malen e Ferguson
Whiteam FC,Da Cunha,1,Si,costo 1 contro FVM 80 classe 2002 slot U25; titolare del centrocampo del Como - rendita assoluta
Whiteam FC,Davis K.,33,Si,costo 37 contro FVM 110 classe 2003 slot U25; centravanti titolare dell Udinese; secondo miglior surplus della rosa
Whiteam FC,Thorstvedt,1,Si,costo 1 per FVM 40 - titolare del Sassuolo di Aquilani; a un credito è impossibile rinunciarci
Whiteam FC,Kelly L.,16,Si,costo 18 per FVM 27 - titolare della difesa della Juve di Spalletti
Whiteam FC,Esposito Se.,54,Si,costo 63 per FVM 70 - centravanti titolare del Cagliari con i rigori; margine positivo e ruolo garantito
Whiteam FC,Ghilardi,1,Si,costo 1 classe 2003 slot U25; è tornato alla Roma di Gasperini che lo ha voluto - slot quasi gratuito
Whiteam FC,Strefezza,10,dubbio,costo 11 per FVM 50 - margine altissimo ma al Parma non è titolare; primo nome se si libera uno slot O25
Whiteam FC,Boga,3,dubbio,costo 4 per FVM 37 - ottimo rapporto ma alla Juve è fuori dagli undici di Spalletti
Whiteam FC,Milinkovic-Savic V.,17,dubbio,costo 19 per FVM 37 - al Napoli è in ballottaggio con Meret; se vince lui è un affare
Whiteam FC,Doig,3,dubbio,costo 4 classe 2002 slot U25; titolare del Sassuolo - ottimo riempitivo se restano slot
Whiteam FC,Norton-Cuffy,20,dubbio,costo 22 classe 2004 slot U25; titolare del Genoa ma FVM 14 sotto il costo
Whiteam FC,Conceicao,70,dubbio,costo 81 per FVM 65 classe 2002 slot U25; titolare Juve ma nessun margine economico
Whiteam FC,Pinamonti,92,dubbio,costo 106 per FVM 55 - titolare del Sassuolo ma si paga il doppio del valore
Whiteam FC,Krstovic,231,No,costo 278 contro FVM 95 - in ballottaggio con Scamacca nell Atalanta di Sarri; un quarto del budget per un non garantito
Whiteam FC,Meret,90,No,costo 104 per FVM 20 - titolare Napoli ma con Milinkovic-Savic in rosa e prezzo cinque volte il valore
Whiteam FC,Gudmundsson A.,101,No,costo 122 per FVM 35 - titolare Fiorentina ma valutazione crollata dopo una stagione deludente
Whiteam FC,Gosens,65,No,ceduto dalla Fiorentina
